Market,City Name,Launch Date,Brand Color,Audience Profile URL
6AM City,6AM City,07/16/2017,6am purple,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/6AM%20City%20-%20Audience%20Profile.pdf
608,"Madison, WI",09/21/2021,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/608%20-%20Audience%20Profile.pdf
865,"Knoxville, TN",06/23/2025,orange,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/6AM%20City%20-%20Audience%20Profile.pdf
ATX,"Austin, TX",10/18/2021,orange,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/ATX%20-%20Audience%20Profile%20-%202022.pdf
AVL,"Asheville, NC",02/08/2018,orange,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/AVL%20-%20Audience%20Profile.pdf
BOS,"Boston, MA",11/15/2021,red,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/BOS%20-%20Audience%20Profile.pdf
CBUS,"Columbus, OH",12/29/2021,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/CBUS%20-%20Audience%20Profile.pdf
CHS,"Charleston, SC",02/15/2018,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/CHS%20-%20Audience%20Profile.pdf
CLT,"Charlotte, NC",03/18/2024,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/CLTtoday%20-%20Audience%20Profile.pdf
COLA,"Columbia, SC",04/03/2017,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/COLA%20-%20Audience%20Profile.pdf
DAL,"Dallas, TX",06/17/2024,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/FTW%20-%20Audience%20Profile.pdf
FTW,"Fort Worth, TX",10/18/2021,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/FTW%20-%20Audience%20Profile.pdf
GVL,"Greenville, SC",07/01/2016,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/GVL%20-%20Audience%20Profile.pdf
INDY,"Indianapolis, IN",09/27/2021,red,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/INDY%20-%20Audience%20Profile.pdf
KC,"Kansas City, KC-MO",08/09/2021,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/KC%20-%20Audience%20Profile.pdf
LAL,"Lakeland, FL",08/16/2018,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/LAL%20-%20Audience%20Profile.pdf
LEX,"Lexington, KY",09/27/2021,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/LEX%20-%20Audience%20Profile.pdf
LOU,"Louisville, KY",08/09/2021,purple,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/LOU%20-%20Audience%20Profile.pdf
NASH,"Nashville, TN",04/05/2021,red,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/NASH%20-%20Audience%20Profile.pdf
NOOGA,"Chattanooga, TN",09/20/2018,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/NOOGA%20-%20Audience%20Profile.pdf
NOVA,"Northern Virginia, VA",04/07/2025,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/6AM%20City%20-%20Audience%20Profile.pdf
ORL,"Orlando, FL",06/16/2025,purple,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/6AM%20City%20-%20Audience%20Profile.pdf
PDX,"Portland, OR",11/29/2021,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/PDX%20-%20Audience%20Profile.pdf
RAL,"Raleigh, NC",10/07/2019,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/RAL%20-%20Audience%20Profile.pdf
RIC,"Richmond, VA",07/26/2021,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/RIC%20-%20Audience%20Profile.pdf
SAC,"Sacramento, CA",01/31/2022,purple,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/SAC%20-%20Audience%20Profile.pdf
SATX,"San Antonio, TX",10/25/2021,red,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/SATX%20-%20Audience%20Profile.pdf
SD,"San Diego, CA",11/15/2021,purple,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/SD%20-%20Audience%20Profile.pdf
SEA,"Seattle, CA",10/18/2021,green,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/SEA%20-%20Audience%20Profile.pdf
SJ,"San Jose, CA",02/01/2022,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/SJ%20-%20Audience%20Profile.pdf
TBAY,"Tampa Bay, FL",07/28/2022,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/6AM%20City%20-%20Audience%20Profile.pdf
WS,"Winston-Salem, NC",07/01/2023,blue,https://4076190.fs1.hubspotusercontent-na1.net/hubfs/4076190/Audience%20Profiles/WStoday%20%7C%20Audience%20Profile.pdf